name,id,planetary,decivRemove,script,desc,icon,order
Urbanized Polity,urbanized_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.UrbanizedPolity,"A dense and cosmopolitan center of population, people of all walks of life live, work, and die in the stacked hab-complexes, commercial concourses, and modular workshops.",graphics/icons/markets/urbanized_polity.png,130
Industrial Polity,industrial_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.IndustrialPolity,"A bustling industrial center. The policies of the local government encourage thriving industry, at the expense of all other concerns.",graphics/icons/markets/urbanized_polity.png,130
Rural Polity,rural_polity,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RuralPolity,"A sparsely populated polity of homesteads and insular townships. In these troubled times, outsiders are generally treated with suspicion.",graphics/icons/markets/rural_polity.png,130
Large Refugee Population,large_refugee_population,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LargeRefugeePopulation,"Desperate refugees fleeing some disaster have ended up here. Refugees live at the bottom of society with little opportunity for betterment, straining domestic infrastructure living in tense semi-legal status. Reduced overall production. More prospective crew members are likely to be found among those trying to escape the squalid living conditions.",graphics/icons/markets/refugee_population.png,140
Volturnian Lobster Pens,volturnian_lobster_pens,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,A mix of several Old Earth species and a little imagination produced this creature which grows wild in the crushing depths of Volturn's sea-floor. The flavor is said to be exceptional.,graphics/icons/markets/lobster_pens.png,137
Vice Demand,vice_demand,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ViceDemand,The demand for vice goods is unusually high here.,graphics/icons/markets/vice_demand.png,145
Organized Crime,organized_crime,,TRUE,com.fs.starfarer.api.impl.campaign.econ.OrganizedCrime,Criminal activity produces drugs and harvested organs. Increases demand for hand weapons (by both various crime bosses and local citizenry) and marines (by the local authorities).,graphics/icons/markets/organized_crime.png,148
Frontier,frontier,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Frontier,"Far from the cosmopolitan centers of population, mere survival, self-reliance, and only-the-necessities are the rules of the frontier. Increased demand for weapons and supplies, reduced demand for luxury goods.",graphics/icons/markets/frontier.png,130
Shipbreaking Center,shipbreaking_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShipbreakingCenter,"A major center of shipbreaking in this region of the Sector, hulks are consigned to scrapping here by the navies of major factions and many other clients from among the Sector core worlds.",graphics/icons/markets/shipbreaking.png,360
Trade Center,trade_center,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeCenter,"A major center of trade, merchant vessels from across the Sector dock here expecting to find a buyer for their goods- and to find something to buy in turn for a nice profit.",graphics/icons/markets/trade_center.png,280
Decivilized,decivilized,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,"There is no stable ruling polity here. Civilization is collapsed and current population is effectively unknown, though groups of survivors, bandits, and looters can be detected.",graphics/icons/markets/decivilized.png,130
Decivilized Subpopulation,decivilized_subpop,,,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,"Civilization has been brought back to parts of $market, often at the point of a gauss rifle. However, an effectively unknown population of survivors, bandits, and looters still remains on the fringes.",graphics/icons/markets/decivilized.png,130
Abandoned Station,abandoned_station,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,This station is abandoned.,graphics/icons/markets/abandoned.png,130
Cottage Industry,cottage_industry,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,"$market has a substantial base of low-technology, labour-intensive light industry. Increases demand for simple organic fuels and materials, provides an inefficient albeit charmingly hand-crafted supply of domestic goods.",graphics/icons/markets/cottage_industry.png,230
Outpost,outpost,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,"$market is run much like a garrison or a large spaceship, with a rigid official command structure. This improves stability, but does require some personnel to see to internal security matters.",graphics/icons/markets/outpost.png,130
Luddic Majority,luddic_majority,,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,"Stability is improved if $market is controlled by a Luddic faction, otherwise it is reduced. The ascetic ethos of Luddic theology reduces demand for luxury goods.",graphics/icons/markets/luddic_majority.png,142
Stealth Minefields,stealth_minefields,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,A network of hidden mines provides $market security from meddlesome outsiders. Improves stability.,graphics/icons/markets/stealth_mines.png,510
Regional Capital,regional_capital,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"A major center of administration, security, and logistics. Improves stability.",graphics/icons/markets/capital.png,500
Free Port,free_market,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,"The local port authority imposes almost no regulation on what cargo is traded. Immigration controls are likewise relaxed, resulting in a greater in-flow of people, albeit sometimes of a more questionable character. This may cause other factions to view this colony with distrust.",graphics/icons/markets/free_port.png,141
Closed Immigration,closed_immigration,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ClosedImmigration,"Officially, immigration to $market is not allowed. In practice, this results in slowing overall immigration significantly, and creating room for certain kinds of criminals to operate.",graphics/icons/markets/vice_demand.png,142
,,,,,,,
Uninhabitable World,uninhabitable,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"A barren planet, the surface of $market can not support organic life as we know it, and farming is impossible outside of sealed artificial ecosystems.",graphics/icons/markets/uninhabitable_wide.png,10
Ice World,ice,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldIce,"$market's average temperature is far below the freezing point of water and some common terran atmospheric gases fall as snow. The drifts and glaciers of light, volatile elements may be harvested.",graphics/icons/markets/ice_world_wide.png,10
Desert World,desert,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,$market: desert planet. A xerophile biosphere maintains an atmosphere breathable with only a light mask. Farming is nearly impossible.,graphics/icons/markets/desert_world_wide.png,10
Arid World,arid,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldArid,"$market is covered by vast, dry plains and wastes. Water is uncommon and large-scale farming is difficult.",graphics/icons/markets/arid_world_wide.png,10
Water World,water,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldWater,The climate of $market is hospitable but farming is limited largely to aquaculture and highly specialized infrastructure is required for any development of habitats and industry.,graphics/icons/markets/water_world_wide.png,10
Jungle World,jungle,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldJungle,"$market is a wet, warm jungle world covered in riotous vegetation and exotic lifeforms, making farming and maintaining permanent infrastructure difficult.",graphics/icons/markets/jungle_world_wide.png,10
Terran World,terran,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTerran,"$market is as close to Old Earth's condition as can be found in the Sector, providing ideal conditions for farming and settlement.",graphics/icons/markets/terran_world_wide.png,10
Barren-marginal World,barren_marginal,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldBarrenMarginal,"Inhospitable and unforgiving, outside conditions on $market are barely survivable to a human with an air mask and protective equipment, though certain engineered terraforming lichens find it tolerable enough.",graphics/icons/markets/barren_desert_wide.png,10
Twilight World,twilight,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTwilight,"Tidally locked to its primary, or near enough, $market is a terraformed world with days the length of seasons. Day/night temperature variation is accordingly harsh even to engineered terran life. Islands of 'civilized' mild biomes are maintained through judicious use of solar shades and mirrors. ",graphics/icons/markets/twilight_terran_world.png,10
Tundra World,tundra,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTundra,"Terraforming has brought terran life to $market but the world remains as cold as the deepest of Earth's ice ages. Though millions of square kilometers are covered in glacier, there are also taiga provinces and rolling steppe where warmer conditions prevail.",graphics/icons/markets/tundra_terran_wide.png,10
Cryovolcanic World,cryovolcanic,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"A world frozen beyond deepest chill, methane snow falls on mountains of water-ice and volcanos erupt with ammonia. Stellar radiation breaks down the volatiles to form an atmosphere of light gases such as nitrogen and oxygen while hydrogen is whisked into space. ",graphics/icons/markets/cryo_world_wide.png,10
,,,,,,,
Dissident Population,dissident,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Dissident,"$market is a dumping-ground for dissidents, rebels, free-thinkers, artists, and other troublemakers. Increases demand for weapons and marines to police the rabble. Increases availability of crew due to emigration.",graphics/icons/markets/dissidents.png,139
Headquarters,headquarters,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Headquarters,"$market is a center of military command and logistical operation for the ruling polity. Increases market stability.

Increases the quality and number of officers in $market's fleets.",graphics/icons/markets/headquarters.png,360
Hydroponics Complex,hydroponics_complex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Hydroponics,"Sealed-biosphere agricultural production facilities which allow farming in orbit or on the surface of inhospitable worlds. Requires crew to operate, organic growth medium, and heavy machinery for upkeep.",graphics/icons/markets/hydroponics.png,120
,,,,,,,
Population,population_1,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Only tens of people live here permanently.,graphics/icons/markets/population01.png,20
Population,population_2,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Mere hundreds of people populate $market.,graphics/icons/markets/population02.png,20
Population,population_3,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Thousands of people call $market home.,graphics/icons/markets/population03.png,20
Population,population_4,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Tens of thousands of people live on $market.,graphics/icons/markets/population04.png,20
Population,population_5,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market is home to hundreds of thousands of people.,graphics/icons/markets/population05.png,20
Population,population_6,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,The population of $market is in the millions.,graphics/icons/markets/population06.png,20
Population,population_7,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market is a world of tens of millions.,graphics/icons/markets/population07.png,20
Population,population_8,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$market is one of the few worlds in the Sector with a population of hundreds of millions.,graphics/icons/markets/population08.png,20
Population,population_9,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"A precious refuge for humanity in a dangerous galaxy, $market is home to billions of souls.",graphics/icons/markets/population09.png,20
Population,population_10,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"$market is a dominant population center in the Sector, a rival to Old Earth as home to tens of billions of humans.",graphics/icons/markets/population10.png,20
,,,,,,,
,,,,,,,
,,,,,,,
# event-related market conditions,,,,,,,
Food Shortage,event_food_shortage,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,"There's a temporary lack of available food on $market.
- Stability reduced by $stabilityPenalty
- Approximately $neededFood units of food needed to end shortage
- Food prices increased due to lowered food supply
- Increased reputation and experience from selling food",graphics/icons/markets/food_shortage.png,1000
Recent Unrest,recent_unrest,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,$market has recently experienced tumultous events with a lingering effect on stability.,graphics/icons/markets/recent_unrest.png,2000
Trade Disruption,event_trade_disruption,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,"Trade fleets going to or from $market are taking significant losses. Piracy or war are most likely to blame.

The following commodities are affected:
$commoditySummary",graphics/icons/markets/trade_disruption.png,1100
Smuggling,event_smuggling,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Smuggling,"$market is experiencing a high volume of smuggling activity.

- Stability reduced by $smugglingPenalty",graphics/icons/markets/smuggling.png,1000
System Bounty,event_bounty,,TRUE,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,,graphics/icons/markets/bounty.png,1000
Rogue AI Core,rogue_ai_core,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RogueAICore,"There is a rogue AI core operating on or near $market. Its long-term plans and ambitions, beyond its own survival, are unknown.

At a minimum, the need to be on guard against its possible actions makes day-to-day operations less efficient and creates fertile ground for alarming rumours.",graphics/icons/markets/rogue_ai.png,1200
AI Core Admin (hidden),ai_core_admin,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AICoreAdmin,Hidden condition to track when the core becomes un-removable. Does not need an icon.,graphics/icons/markets/rogue_ai.png,1000
Pirate Activity,pirate_activity,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.PirateActivity,"There have been signs that pirates are targeting shipping and colonies in this system - from port inspectors being pressured to turn a blind eye, to inconsistencies in cargo manifests, to other increased criminal activity.

The pirates most likely have a base somewhere relatively nearby.",graphics/icons/markets/pirate_activity.png,1300
Luddic Path Cells,pather_cells,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.LuddicPathCells,,graphics/icons/markets/pather_cells.png,1400
,,,,,,,
# stand-alone conditions,,,,,,,
Trade Disruption,shipping_disruption,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShippingDisruption,,graphics/icons/markets/trade_disruption.png,1000
,,,,,,,
# misc,,,,,,,
Comm Relay (hidden),comm_relay,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CommRelayCondition,Hidden condition; does not need icon.,,
,,,,,,,
,,,,,,,
# procgen conditions,,,,,,,
Habitable,habitable,TRUE,,com.fs.starfarer.api.impl.campaign.econ.Habitable,Human beings can survive unprotected exposure to the surface conditions of $market.,graphics/icons/markets/habitable.png,21
,,,,,,,
,,,,,,,
Scattered Ruins,ruins_scattered,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"This world was only lightly touched by the great project of the Domain before the collapse. Only scattered, broken domes remain, perchance holding lost caches of valuable materials.",graphics/icons/markets/ruins_scattered.png,100
Widespread Ruins,ruins_widespread,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Widespread ruins, blips from radiation sources, and the distinctive burred radar-ping of foamed cerametal structures can be found across $market, evidence of a small but concerted colonization effort dating to the late expansion period of the Domain.",graphics/icons/markets/ruins_widespread.png,100
Extensive Ruins,ruins_extensive,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Ruined cities can be found across the surface of $market, spilling from their broken hearts pitted roadways and crumbling magrail lines to the skeletons of factories, aquaponics domes, and comm-towers.",graphics/icons/markets/ruins_extensive.png,100
Vast Ruins,ruins_vast,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$market is covered in vast ruins; cities, factories, mines, farms, homes. The dead are in dread abundance, entwined with salvageable materials, goods, tools, and weapons. This world is a tomb for the hubris of the Domain's project of galactic colonization and hegemony. ",graphics/icons/markets/ruins_vast.png,100
,,,,,,,
,,,,,,,
Cold,cold,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The low temperatures found on $market necessitates specialized equipment to perform normal operations, complicating life support and infrastructure.",graphics/icons/markets/cold.png,25
Extreme Cold,very_cold,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Extreme cold necessitates specialized equipment and protocol to perform operations safely on $market, complicating logistics, life support, and infrastructure.",graphics/icons/markets/cold_extreme.png,25
,,,,,,,
Hot,hot,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The high temperature conditions of $market necessitates specialized equipment to perform normal operations, complicating life support and infrastructure.",graphics/icons/markets/hot.png,25
Extreme Heat,very_hot,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Extreme heat necessitates specialized equipment and protocol to safely operate on $market, seriously complicating logistics, life support, and long-term stability of infrastructure.",graphics/icons/markets/hot_extreme.png,25
,,,,,,,
,,,,,,,
Tectonic Activity,tectonic_activity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The surface of $market is unstable and prone to violent quakes. Any structures require special reinforcement and any excavation will involve a great deal of risk.,graphics/icons/markets/tectonic.png,26
Extreme Tectonic Activtity,extreme_tectonic_activity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,$market's crust roils chaotically with extreme quakes and cataclysmic volcanism events. Any operations will require exceptional care and use of many-times redundant warning systems so that the worst dangers can be avoided. Construction on this world can only ever be considered semi-permanent.,graphics/icons/markets/tectonic_extreme.png,26
,,,,,,,
,,,,,,,
No Atmosphere,no_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"No appreciable atmosphere exists on $market. Its surface is exposed to the hard weathering of space, a steady drizzle of radiation and micrometeorites.",graphics/icons/markets/atmosphere_none.png,27
Thin Atmosphere,thin_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,A rarefied atmosphere clings determinedly to $market's surface.,graphics/icons/markets/atmosphere_thin.png,27
Toxic Atmosphere,toxic_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The atmosphere of $market is exceptionally toxic and corrosive, abrading unprotected surfaces and requiring the hermetic sealing of any inhabited spaces.",graphics/icons/markets/atmosphere_toxic.png,27
Dense Atmosphere,dense_atmosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The surface of $market is shrouded in a thick atmosphere, turbulent vortices at its crown and a cloying soup at its lowest foothold. Sensors are impaired, and operations must be made with care.",graphics/icons/markets/atmosphere_dense.png,27
,,,,,,,
,,,,,,,
Mild Climate,mild_climate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.MildClimate,The climate of $market is welcoming and docile; a light mist greets each sunrise before retreating into soft clouds that glow appealingly at every sunset.,graphics/icons/markets/climate_mild.png,28
Extreme Weather,extreme_weather,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Violent storms bristling lightning rage across the skies of $market. Though a sublime beauty from orbit, this produces harsh surface conditions making transportation and habitation highly inconvenient.",graphics/icons/markets/weather_extreme.png,28
,,,,,,,
Low Gravity,low_gravity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LowGravity,"Gravity is exceptionally low, though significantly above zero-g, on the surface of $market. Workflow and operation of (relatively) heavy machinery is complicated by the non-standard procedures required to deal with altered conditions of friction, weight, and pressure dynamics.",graphics/icons/markets/gravity_low.png,24
High Gravity,high_gravity,TRUE,,com.fs.starfarer.api.impl.campaign.econ.HighGravity,The force of gravity on the surface of $market is crushingly high. Humans require powered exoskeletons for regular movement and find even basic actions exhausting. Continual habitation is grueling at best. All operations take place with a heightened danger of falls and - if specialized engineering is not performed with adequete paranoia - structural collapse.,graphics/icons/markets/gravity_high.png,24
,,,,,,,
Irradiated,irradiated,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The surface of $market is ravaged by radiation. Any living being must be confined to a shielded habitat to live for long here. Unhardened circuits and nanoscale materials or machinery will also rapidly fail in these harsh conditions.,graphics/icons/markets/irradiated.png,29
,,,,,,,
,,,,,,,
Inimical Biosphere,inimical_biosphere,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorLow,"The biosphere of $market is deadly to unprotected human beings. While the conditions are fascinating to biological scientists, surface technicians are hampered by strict quarantine protocols when carrying out routine tasks.",graphics/icons/markets/inimical_biosphere.png,30
,,,,,,,
Water-covered Surface,water_surface,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"This is an ocean world with no substantial solid surface to land, walk, or build upon. Operations are complicated by the need for specialized training and equipment.",graphics/icons/markets/water_covered.png,31
,,,,,,,
Poor Light,poor_light,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,The light of $market's primary only provides feeble illumination and energy to this world.,graphics/icons/markets/poor_light.png,32
Darkness,dark,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"The surface of $market is dark and full of shadow, receiving effectively zero illumination from its primary.",graphics/icons/markets/darkness.png,32
,,,,,,,
Meteor Impacts,meteor_impacts,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"This world is bombarded at an appalling rate by regular meteor-showers. Any human inhabitant, however temporary, must keep a wary eye skyward. Any permanent installations would be best buried deep and well fortified.",graphics/icons/markets/meteor_impacts.png,33
,,,,,,,
,,,,,,,
Pollution,pollution,,,com.fs.starfarer.api.impl.campaign.econ.Pollution,"Human industry has left this world filled with dioxins, sulphur compounds, ash, and the steady ticking of decaying radioactive dust. Scraps of plastic cling to shards of foam-metal, the sky tuned to a dead channel.",graphics/icons/markets/pollution.png,110
,,,,,,,
,,,,,,,
Sparse Ore Deposits,ore_sparse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"A few sparse ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical.",graphics/icons/markets/ore_sparse.png,50
Moderate Ore Deposits,ore_moderate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market contains moderate ore deposits that, under the right economic conditions, could be profitably exploited.",graphics/icons/markets/ore_moderate.png,50
Abundant Ore Deposits,ore_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Abundant, widespread, and profitably extractable ore deposits can be found on $market.",graphics/icons/markets/ore_abundant.png,50
Rich Ore Deposits,ore_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Rich mineral deposits form a thick lattice within the crust of $market but require an ambitious industrialist to exploit them for fabulous profit.,graphics/icons/markets/ore_rich.png,50
Ultrarich Ore Deposits,ore_ultrarich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Mineral wealth exists on Midas-touched $market beyond the wildest fantasies of the legendary mining megacorps of the Domain era.,graphics/icons/markets/ore_ultrarich.png,50
,,,,,,,
,,,,,,,
Sparse Rare Ore Deposits,rare_ore_sparse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"A few sparse transplutonic ore deposits exist here, but they are more of academic than industrial interest for their extraction is barely economical.",graphics/icons/markets/rareore_sparse.png,60
Moderate Rare Ore Deposits,rare_ore_moderate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market contains modest transplutonic deposits that, with sustained industry and investment, could be profitably tapped.",graphics/icons/markets/rareore_moderate.png,60
Abundant Rare Ore Deposits,rare_ore_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Abundant transplutonic deposits lay within the crust of $market, enough to fuel the ambitions of any worthwhile warlord or magnate.",graphics/icons/markets/rareore_abundant.png,60
Rich Rare Ore Deposits,rare_ore_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Thick bands of transplutonics spread with glorious profusion through the crust of $market, promising great and potent power to they who would but reach out and take them.",graphics/icons/markets/rareore_rich.png,60
Ultrarich Rare Ore Deposits,rare_ore_ultrarich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,The transplutonic deposits glimmering with unbelievable density on the sensor-grid evoke portents of a power which could forge mighty war-fleets to burn worlds to ash -- or an eon of splendour and wealth for a polity of crystal towers as existed in the pre-collapse cycles of the Domain.,graphics/icons/markets/rareore_ultrarich.png,60
,,,,,,,
,,,,,,,
Trace Volatiles,volatiles_trace,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,The trace volatiles found here barely warrant harvesting.,graphics/icons/markets/volatiles_trace.png,40
Diffuse Volatiles,volatiles_diffuse,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Diffuse volatiles can be found here, and may be sufficient for industrial extraction.",graphics/icons/markets/volatiles_diffuse.png,40
Abundant Volatiles,volatiles_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Abundant volatiles may be economically extracted from $market.,graphics/icons/markets/volatiles_abundant.png,40
Plentiful Volatiles,volatiles_plentiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market is a world-sized wellspring of volatiles - rich, deep, and potent.",graphics/icons/markets/volatiles_plentiful.png,40
,,,,,,,
,,,,,,,
Trace Organics,organics_trace,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market is nearly barren of organics reserves, though some extraction is possible.",graphics/icons/markets/organics_trace.png,38
Common Organics,organics_common,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Economically exploitable reserves of organics can be found on $market.,graphics/icons/markets/organics_common.png,38
Abundant Organics,organics_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,A river of wealth flows beneath the surface of $market - for those that would find and tap it.,graphics/icons/markets/organics_abundant.png,38
Plentiful Organics,organics_plentiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Reservoirs of valuable organics burst through the surface of $market in gouts over deep, dark pools that promise oceans of wealth to be found just below.",graphics/icons/markets/organics_plentiful.png,38
,,,,,,,
,,,,,,,
Poor Farmland,farmland_poor,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Plant life grows only stunted and wearily here. It would require farmers with talent equal to their desperation to make these lands bear fruit.,graphics/icons/markets/farmland_poor.png,70
Adequate Farmland,farmland_adequate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,A robust terran-compatible biosphere allows agricultural cultivation to take place on $market.,graphics/icons/markets/farmland_adequate.png,70
Rich Farmland,farmland_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,The fields of $market promise a rich harvest to reward the farmers that work these fertile lands.,graphics/icons/markets/farmland_rich.png,70
Bountiful Farmland,farmland_bountiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market is a veritable Eden; flowering, riotous, lush, and luminous with plant life. Branches hang low, laden with fruit; fields of golden grain shimmer in the herbaceous breeze.",graphics/icons/markets/farmland_bountiful.png,70
,,,,,,,
Orbital Solar Array,solar_array,TRUE,,com.fs.starfarer.api.impl.campaign.econ.SolarArray,"This planet has an array of solar shades or mirrors in orbit, judiciously positioned to bring its surface conditions closer to terran norms.",graphics/icons/markets/solar_shade.png,101