id,group,rank,order,hazard,reqSurvey,xpMult,requiresAll,requiresAny,requiresNotAny,cat_giant,cat_barren,rocky_unstable,rocky_ice,cat_hab1,cat_lava,lava_minor,cat_frozen,cat_cryovolcanic,cat_irradiated,cat_toxic,toxic_cold,cat_hab5,cat_hab4,cat_hab3,terran-eccentric,jungle,water,arid,tundra,cat_hab2,multipliers >>>,tectonic_activity,extreme_tectonic_activity,low_gravity,high_gravity,hot,very_hot,cold,very_cold,dense_atmosphere,water_surface,mild_climate,extreme_weather,poor_light,inimical_biosphere,pollution
habitable,habitable,1,0,-0.25,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold,cold,1,1,0.25,,,,,"hot, very_hot",,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
very_cold,cold,2,1,0.5,,,,,"hot, very_hot, habitable",,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,hot,1,1,0.25,,,,,"cold, very_cold",,,,,,,1,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,
very_hot,hot,2,1,0.5,,,,,"cold, very_cold, habitable",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tectonic_no_pick,tectonic,0,1,,,,,,,,,,,,,,,,,100,100,200,100,100,,,,,,,,,,,,,,,,,,,,,,
tectonic_activity,tectonic,1,1,0.25,,,,,,,,10,,,,1,,10,,10,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,
extreme_tectonic_activity,tectonic,2,1,0.5,,,,,,,,1,,,1,,,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atmosphere_no_pick,atmosphere,0,1,,,,,,,10,,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_atmosphere,atmosphere,1,1,0.5,,,,,habitable,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thin_atmosphere,atmosphere,1,1,0.25,,,,,habitable,,,,,1,,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
toxic_atmosphere,atmosphere,1,1,0.5,,,,,habitable,3,,,,,10,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
dense_atmosphere,atmosphere,1,1,0.5,,,,,habitable,3,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weather_no_pick,weather,0,2,,,,,,,10,,,,10,,,10,10,10,10,10,20,10,10,,10,10,,,0,,,,,,,,,,,,,,,,
mild_climate,weather,1,2,-0.25,,,habitable,,,,,,,,,,,,,,,10,2,1,,,,,,,,,,,,,,,,,,,,,,
extreme_weather,weather,1,2,0.25,,,,,no_atmosphere,10,,,,1,,,1,1,1,1,1,1,1,1,,3,3,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
low_gravity,gravity,0,1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high_gravity,gravity,1,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irradiated,radiation,0,1,0.5,,,,,habitable,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biosphere_no_pick,biosphere,,1,,,,,,,500,1000,,,100,1000,1000,100,100,10000,1000,1000,,,10,,10,,,,100,,,,,,,,,,,,,,,,
inimical_biosphere,biosphere,,1,0.25,,,,,,1,1,,,1,1,1,1,1,1,1,1,,,1,,10,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water_surface,surface,,1,0.25,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poor_light,light,,1,0.25,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
dark,light,,1,0.5,,,,,habitable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meteor_impacts,meteor,1,2,0.5,,,,"thin_atmosphere, no_atmosphere",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pollution_no_pick,pollution,0,20,,,,,,,,100,,,10,,10,10,10,,,,100,5,5,,,,,,,,,,,,,,,,,,,,,,
pollution,pollution,1,20,0.25,,,,"ruins_scattered, ruins_widespread, ruins_extensive, ruins_vast",,,1,,,1,,1,1,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ore_no_pick,ore,0,5,,,,,,,,,,,,,,,,,,,100,10,10,,,100,,,10,,0,0,2,0,,,,,,,,,,,
ore_sparse,ore,1,5,,TRUE,1,,,,,4,,,4,,,10,4,4,4,4,20,20,20,,,,,,20,,1,1,2,1,,,,,,,,,,,
ore_moderate,ore,2,5,,TRUE,2,,,,,10,,,10,10,10,5,20,20,20,20,40,40,40,,,,,,40,,2,3,0.75,2,,2,,,,,,,,,
ore_abundant,ore,3,5,,TRUE,4,,,,,5,,,5,30,20,3,10,10,10,10,4,4,4,,,,,,4,,3,5,0.5,3,,3,,,,,,,,,
ore_rich,ore,4,5,,TRUE,8,,,,,2,,,2,20,10,2,3,4,2,2,2,2,2,,,,,,2,,4,7,0.25,4,,4,,,,,,,,,
ore_ultrarich,ore,5,5,,TRUE,16,,,,,1,,,1,10,5,1,1,2,1,1,1,1,1,,,,,,1,,5,10,0.1,5,,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rare_ore_no_pick,rare_ore,0,6,,,,,,,,50,,,50,10,10,50,20,10,50,50,200,50,50,,,,,,50,,,0,,0,,,,,,,,,,,
rare_ore_sparse,rare_ore,1,6,,TRUE,2,,,,,10,,,10,10,10,10,10,10,10,10,10,10,10,,,,,,10,,1,1,2,1,,,,,,,,,,,
rare_ore_moderate,rare_ore,2,6,,TRUE,4,,,,,5,,,5,10,10,5,10,10,5,5,5,5,5,,,,,,5,,2,3,0.75,2,,2,,,,,,,,,
rare_ore_abundant,rare_ore,3,6,,TRUE,8,,"tectonic_activity, extreme_tectonic_activity, high_gravity, very_hot, irradiated",,,5,,,5,30,20,5,10,10,5,5,5,5,5,,,,,,5,,3,5,0.5,3,,3,,,,,,,,,
rare_ore_rich,rare_ore,4,6,,TRUE,16,,"tectonic_activity, extreme_tectonic_activity, high_gravity, very_hot, irradiated",,,2,,,2,20,10,2,5,5,2,2,2,2,2,,,,,,2,,4,7,0.25,4,,4,,,,,,,,,
rare_ore_ultrarich,rare_ore,5,6,,TRUE,32,,"tectonic_activity, extreme_tectonic_activity, high_gravity, very_hot, irradiated",,,1,,,1,10,5,1,3,3,1,1,1,1,1,,,,,,1,,5,10,0.1,5,,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
volatiles_no_pick,volatiles,0,5,,,,,,,,100,100,100,100,,,,,,50,50,200,100,100,,,,,,,,,,,,5,8,,,,,,,,,
volatiles_trace,volatiles,1,5,,TRUE,3,,,,10,1,1,10,10,,,10,10,,10,10,10,10,10,,,,,,,,,,,,4,6,,1,1,,,,,,
volatiles_diffuse,volatiles,2,5,,TRUE,6,,,,20,,,1,1,,,20,20,,10,10,1,1,1,,,,,,,,,,,,3,4,,2,2,,,,,,
volatiles_abundant,volatiles,4,5,,TRUE,12,,,,10,,,,,,,10,10,,5,5,,,,,,,,,,,,,,,2,2,,3,3,,,,,,
volatiles_plentiful,volatiles,5,5,,TRUE,24,,,,5,,,,,,,5,5,,1,1,,,,,,,,,,,,,,,1,1,,4,4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organics_no_pick,organics,0,5,,,,,,,,,,,100,,,,,,100,,,,,,,,,,,,,,,,5,,5,,,,,,,5,
organics_trace,organics,1,5,,TRUE,2,,,,,,,,10,,,,,,10,,,,,,,,,,,,,,,,4,0,4,,,,,,,4,
organics_common,organics,2,5,,TRUE,4,,,,,,,,1,,,,,,5,,10,20,20,,,5,,,,,,,,,3,0,3,0,,,,,,3,
organics_abundant,organics,4,5,,TRUE,8,,,,,,,,,,,,,,3,,40,30,10,,,20,,,,,,,,,2,0,2,0,,,,,,2,
organics_plentiful,organics,5,5,,TRUE,16,,,,,,,,,,,,,,1,,50,20,5,,,10,,,,,,,,,1,0,1,0,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland_no_pick,farmland,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,2,5,,5,,,,,5,5,5,5
farmland_poor,farmland,1,30,,TRUE,2,habitable,,,,,,,,,,,,,,,,,10,,20,0,20,20,10,,,,,2,4,0,4,0,,,1,4,4,4,4
farmland_adequate,farmland,2,30,,TRUE,4,habitable,,,,,,,,,,,,,,,10,20,20,,20,0,10,10,,,,,,,3,0,3,0,,,2,3,3,3,3
farmland_rich,farmland,4,30,,TRUE,8,habitable,,,,,,,,,,,,,,,40,30,30,,10,0,5,5,,,,,,,2,0,2,0,,,3,2,2,2,2
farmland_bountiful,farmland,5,30,,TRUE,16,habitable,,,,,,,,,,,,,,,50,20,10,,5,0,0,,,,,,,,1,0,1,0,,,4,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ruins_no_pick,ruins,0,10,,,,,,,,100,,,50,200,100,100,200,400,500,500,10,10,20,,,,,,50,,2,4,2,4,,,,,,,,,,,
ruins_scattered,ruins,1,10,,TRUE,4,,,,,10,,,10,10,10,10,10,10,10,10,10,10,10,,,,,,10,,,,,,,,,,,,,,,,
ruins_widespread,ruins,2,10,,TRUE,8,,,,,5,,,5,5,5,5,5,5,5,5,10,5,5,,,,,,5,,,,,,,,,,,,,,,,
ruins_extensive,ruins,4,10,,TRUE,16,,,,,3,,,3,3,3,3,3,3,3,3,5,3,3,,,,,,3,,,,,,,,,,,,,,,,
ruins_vast,ruins,5,10,,TRUE,32,,,,,1,,,1,1,1,1,1,1,1,1,3,1,1,,,,,,1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
decivilized_no_pick,decivilized,0,12,,,,,,,,100,,,100,100,100,100,100,100,100,100,100,100,100,,,,,,100,,2,4,2,4,2,4,2,4,,,0.25,2,2,4,2
decivilized,decivilized,1,12,0.25,,,,"ruins_scattered, ruins_widespread, ruins_extensive, ruins_vast",,,10,,,20,1,5,5,1,1,1,1,100,50,30,,,,,,10,,,,,,,,,,,,,,,,
decivilized_subpop,decivilized,2,12,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,